"hrsrelax","mntlhlth","hrs1","degree","grass"
4,0,41,"HIGH SCHOOL","LEGAL"
5,0,52,"HIGH SCHOOL","LEGAL"
4,2,40,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL",NA
4,0,89,"HIGH SCHOOL",NA
3,0,89,"GRADUATE","NOT LEGAL"
2,0,86,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
1,0,40,"BACHELOR","NOT LEGAL"
NA,NA,NA,"BACHELOR","NOT LEGAL"
6,0,20,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"LT HIGH SCHOOL",NA
NA,NA,NA,"BACHELOR","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
4,15,36,"JUNIOR COLLEGE","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
3,7,40,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"BACHELOR","NOT LEGAL"
3,6,89,"JUNIOR COLLEGE","NOT LEGAL"
5,0,37,"JUNIOR COLLEGE",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
2,0,40,"LT HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","LEGAL"
2,0,35,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL",NA
3,0,68,"LT HIGH SCHOOL",NA
2,0,29,"HIGH SCHOOL","NOT LEGAL"
3,0,44,"BACHELOR",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
6,0,16,"HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL","LEGAL"
2,0,56,"HIGH SCHOOL",NA
4,0,14,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"BACHELOR",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
2,0,50,"LT HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL",NA
4,0,55,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"LT HIGH SCHOOL",NA
3,20,46,"HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
1,0,40,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"BACHELOR","NOT LEGAL"
3,0,40,"BACHELOR","NOT LEGAL"
1,2,50,"BACHELOR",NA
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
3,5,60,"GRADUATE","LEGAL"
3,0,40,"BACHELOR","LEGAL"
2,2,50,"BACHELOR",NA
1,0,40,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
3,0,40,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL",NA
2,3,48,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL",NA
6,20,40,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
5,15,40,"JUNIOR COLLEGE","LEGAL"
3,0,40,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
4,0,52,"GRADUATE",NA
5,0,27,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
3,0,40,"GRADUATE","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","LEGAL"
4,0,68,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"LT HIGH SCHOOL",NA
NA,5,40,"LT HIGH SCHOOL","NOT LEGAL"
12,0,40,"HIGH SCHOOL","NOT LEGAL"
4,0,15,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
4,14,4,"LT HIGH SCHOOL",NA
3,0,46,"JUNIOR COLLEGE","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
0,3,40,"HIGH SCHOOL","NOT LEGAL"
6,0,70,"HIGH SCHOOL","NOT LEGAL"
1,2,40,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"JUNIOR COLLEGE","NOT LEGAL"
3,0,32,"LT HIGH SCHOOL","NOT LEGAL"
4,0,30,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"BACHELOR","NOT LEGAL"
2,1,60,"JUNIOR COLLEGE",NA
2,5,48,"HIGH SCHOOL","NOT LEGAL"
3,2,36,"HIGH SCHOOL","NOT LEGAL"
1,NA,82,"LT HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL",NA
6,0,32,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL",NA
NA,NA,NA,"BACHELOR","LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
2,1,67,"LT HIGH SCHOOL","LEGAL"
1,10,40,"JUNIOR COLLEGE","NOT LEGAL"
0,0,26,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
3,0,40,"BACHELOR","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
1,15,47,"HIGH SCHOOL","NOT LEGAL"
3,0,50,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
5,0,40,"LT HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
2,0,40,"HIGH SCHOOL",NA
0,0,39,"LT HIGH SCHOOL","NOT LEGAL"
12,0,15,"HIGH SCHOOL","NOT LEGAL"
4,0,43,"HIGH SCHOOL","LEGAL"
5,0,50,"BACHELOR","LEGAL"
6,2,30,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"BACHELOR","NOT LEGAL"
5,5,40,"HIGH SCHOOL",NA
2,0,50,"HIGH SCHOOL","LEGAL"
2,0,40,"GRADUATE",NA
2,3,40,"GRADUATE","LEGAL"
3,0,42,"HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,24,"HIGH SCHOOL",NA
5,3,40,"BACHELOR","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL",NA
6,1,40,"BACHELOR","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL",NA
3,0,50,"HIGH SCHOOL","NOT LEGAL"
1,0,40,"HIGH SCHOOL","NOT LEGAL"
6,0,28,"HIGH SCHOOL","LEGAL"
2,3,40,"HIGH SCHOOL","LEGAL"
1,0,50,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"JUNIOR COLLEGE",NA
NA,NA,NA,"BACHELOR",NA
2,20,15,"BACHELOR",NA
2,0,40,"HIGH SCHOOL",NA
NA,NA,NA,"GRADUATE","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"BACHELOR","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL",NA
5,0,40,"BACHELOR","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"BACHELOR",NA
5,0,49,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
4,0,80,"LT HIGH SCHOOL",NA
5,7,48,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
0,0,42,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
3,4,35,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"BACHELOR",NA
0,0,40,"HIGH SCHOOL","NOT LEGAL"
3,4,80,"HIGH SCHOOL","NOT LEGAL"
4,0,56,"LT HIGH SCHOOL","NOT LEGAL"
3,2,30,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL",NA
0,0,60,"GRADUATE",NA
NA,NA,NA,"JUNIOR COLLEGE",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
6,2,25,"JUNIOR COLLEGE",NA
5,0,40,"JUNIOR COLLEGE","LEGAL"
9,0,40,"HIGH SCHOOL","NOT LEGAL"
NA,NA,13,"JUNIOR COLLEGE",NA
2,3,36,"LT HIGH SCHOOL","LEGAL"
2,1,40,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
13,0,65,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
3,20,9,"HIGH SCHOOL",NA
3,0,40,"GRADUATE","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
3,0,70,"LT HIGH SCHOOL","LEGAL"
6,0,37,"JUNIOR COLLEGE","NOT LEGAL"
0,0,20,"JUNIOR COLLEGE","NOT LEGAL"
NA,NA,NA,"JUNIOR COLLEGE",NA
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
2,0,32,"HIGH SCHOOL",NA
6,0,35,"HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
7,0,8,"HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL","LEGAL"
1,0,80,"JUNIOR COLLEGE","NOT LEGAL"
4,1,40,"HIGH SCHOOL","LEGAL"
4,0,56,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
1,0,45,"JUNIOR COLLEGE","NOT LEGAL"
4,0,55,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
2,25,30,"JUNIOR COLLEGE",NA
5,0,50,"BACHELOR","LEGAL"
7,0,25,"HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
5,0,70,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
10,0,12,"HIGH SCHOOL","LEGAL"
3,2,10,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
2,4,52,"LT HIGH SCHOOL","LEGAL"
3,4,50,"HIGH SCHOOL",NA
4,0,80,"HIGH SCHOOL","NOT LEGAL"
3,0,55,"BACHELOR",NA
8,0,55,"GRADUATE","NOT LEGAL"
10,30,70,"LT HIGH SCHOOL","LEGAL"
6,4,40,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
4,30,9,"HIGH SCHOOL",NA
8,0,40,"HIGH SCHOOL","LEGAL"
3,5,40,"HIGH SCHOOL","LEGAL"
5,0,40,"BACHELOR",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"BACHELOR","NOT LEGAL"
4,0,50,"JUNIOR COLLEGE",NA
0,0,40,"JUNIOR COLLEGE","NOT LEGAL"
8,0,9,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"LT HIGH SCHOOL",NA
2,15,45,"GRADUATE","NOT LEGAL"
2,0,24,"HIGH SCHOOL","LEGAL"
2,0,36,"JUNIOR COLLEGE","NOT LEGAL"
NA,30,9,"LT HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
4,0,30,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"JUNIOR COLLEGE",NA
NA,NA,NA,"HIGH SCHOOL",NA
4,0,70,"BACHELOR","LEGAL"
4,0,4,"LT HIGH SCHOOL","NOT LEGAL"
0,0,70,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
0,0,52,"HIGH SCHOOL","NOT LEGAL"
3,0,37,"HIGH SCHOOL","NOT LEGAL"
5,0,18,"BACHELOR",NA
3,5,60,"JUNIOR COLLEGE","NOT LEGAL"
2,3,45,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
6,0,22,"HIGH SCHOOL",NA
2,0,40,"GRADUATE","NOT LEGAL"
4,0,40,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
6,2,9,"LT HIGH SCHOOL","LEGAL"
3,0,35,"LT HIGH SCHOOL",NA
4,0,45,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"JUNIOR COLLEGE","LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
3,15,50,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"LT HIGH SCHOOL",NA
14,0,89,"JUNIOR COLLEGE",NA
2,1,55,"LT HIGH SCHOOL","NOT LEGAL"
4,0,50,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
1,0,40,"HIGH SCHOOL",NA
6,10,20,"HIGH SCHOOL","NOT LEGAL"
3,0,60,"JUNIOR COLLEGE","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
2,0,80,"HIGH SCHOOL",NA
5,0,35,"HIGH SCHOOL","LEGAL"
4,0,35,"LT HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
4,0,50,"BACHELOR","LEGAL"
NA,NA,NA,"JUNIOR COLLEGE",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
12,0,84,"HIGH SCHOOL","LEGAL"
1,4,16,"BACHELOR","NOT LEGAL"
1,10,NA,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"GRADUATE","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
2,0,60,"HIGH SCHOOL","LEGAL"
4,4,32,"BACHELOR",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
3,0,33,"LT HIGH SCHOOL",NA
4,26,60,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
4,0,40,"BACHELOR",NA
6,10,40,"BACHELOR",NA
6,0,40,"BACHELOR","NOT LEGAL"
6,2,40,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"GRADUATE",NA
NA,NA,NA,"BACHELOR","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"BACHELOR","LEGAL"
NA,NA,NA,"GRADUATE",NA
NA,NA,NA,"BACHELOR","LEGAL"
3,1,40,"BACHELOR","LEGAL"
NA,NA,NA,"GRADUATE","LEGAL"
4,2,46,"JUNIOR COLLEGE",NA
6,2,40,"GRADUATE","LEGAL"
7,0,25,"LT HIGH SCHOOL",NA
NA,NA,NA,"LT HIGH SCHOOL","LEGAL"
4,0,40,"HIGH SCHOOL","NOT LEGAL"
0,NA,50,"JUNIOR COLLEGE",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
4,3,40,"LT HIGH SCHOOL","NOT LEGAL"
2,0,43,"LT HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
2,15,35,"HIGH SCHOOL","NOT LEGAL"
6,5,24,"LT HIGH SCHOOL",NA
6,5,16,"BACHELOR","LEGAL"
4,5,50,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL",NA
NA,NA,NA,"JUNIOR COLLEGE",NA
8,3,20,"HIGH SCHOOL",NA
7,0,50,"LT HIGH SCHOOL",NA
5,0,10,"BACHELOR","LEGAL"
5,2,40,"HIGH SCHOOL","NOT LEGAL"
NA,0,38,"HIGH SCHOOL",NA
NA,NA,NA,"HIGH SCHOOL","LEGAL"
NA,NA,40,"HIGH SCHOOL","LEGAL"
6,0,38,"LT HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
NA,NA,NA,"BACHELOR",NA
NA,NA,NA,"HIGH SCHOOL","NOT LEGAL"
3,0,40,"HIGH SCHOOL","LEGAL"
5,1,49,"BACHELOR","LEGAL"
6,0,40,"HIGH SCHOOL","LEGAL"
